site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,reason
Gua Celeng Wegil Wegil,,,,,data/google-drive-pdfs/RembangKarstCaves.pdf,10,"2021 Tabel 8. Objek amatan yang tidak memenuhi kriteria kandungan data arkeologis. No Nama Gua Letak Administratif Keterangan 1 Gua Celeng Selokaton Kedungwinong, Sukolilo, Pati Data tidak ditemukan karena penambangan 2 Gua Celeng Wegil Wegil, Sukolilo, Pati Data tidak ditemukan karena penambangan 3 Gua Gajah Kemadohbatur, Tawangharjo, Grobogan Data tidak ditemukan karena pemanfaatan pariwisata 4 Gua Pacul Kedungwinong, Sukolilo, Pati Data tidak ditemukan 5",repeated_words
Leang Pattae The Leang Pattae,,,,,data/google-drive-pdfs/SSulawesiHolocene_Bulbeck.pdf,9,"sociated with three glazed monochrome sherds (AD thirteenth to fourteenth centuries?), a rusted iron fragment and two cross-mending, ornate potsherds, as well as the deposit's disturbance (Bulbeck et al. 2000: 84). 2.2. Leang Pattae The Leang Pattae sequence, as described by Van Heekeren (1972: 116-118), echoes Ulu Leang 1. Potsherds were restricted to the sub-surface deposit, while Maros points continued slightly deeper but not below the upper layer. Backed blades",repeated_words
Leang Kalidong Leang Kalidong,,,,,data/google-drive-pdfs/SSulawesi_EnrekangSites.pdf,2,"tifikasi, diklasifikasi, dan dikomparasi untuk menghasilkan kesimpulan. Kesimpulan yang dihasilkan merupakan jawaban dari permasalahan penelitian yang diajukan. HASIL DAN PEMBAHASAN Diversitas Budaya Prasejarah Enrekang Leang Kalidong Leang Kalidong terletak di pinggir tebing- tebing batu. Secara keseluruhan di situs ini terdapat dua tebing batu yang mempunyai temuan berupa fragmen tulang dan tengkorak",repeated_words
Gua Babi Situs Gua Babi,,,,,data/google-drive-pdfs/SaHuynh-KalanayPottery.pdf,25,"48 Universitas Indonesia dibingkai, serta tera tali dengan ga ris-garis paralel. Pengerjaan hiasan menggunakan tatap pelandas menghasilkan mo tif tekan berupa hiasan kisi-kisi (Arifin, 2006:155). 2.3.3.2. Gua Babi Situs Gua Babi terletak di Desa Randu, Kecamatan Muara Uya, Kabupaten Tabalong, Kalimantan Selatan. Situs berlokasi di wilayah pegunungan tepatnya di kaki sebelah barat Pegunungan Meratus. Si tus ini pertama kali di ekskavasi pada tah",repeated_words
Gua Hatu Patola Hatu Patola,,,,,data/google-drive-pdfs/Seram2012.pdf,24,ga Waensela 9651773 553003 1599 15 5 Gua Empat Waensela 9651544 553132 1697 15 5 Gua Lima wai huhu 9650469 553603 1969 15 5 Gua Labah-labah wai huhu 9650409 553584 1989 15 21 -8 Gua top Binaiya 9649090 551555 2796 30 12 Gua Hatu Patola Hatu Patola 9684232 453009 248 50 5 Gua Toke Hatu Kasieh 9683982 449306 90 30 80 -30 Gua Puhon Hatu Kasieh 9684038 449143 62 30 10 Gua Tana Hatu Kasieh 9684045 449100 63 30 250 -10 Gua Sapalewa (spring) Hatu Toisiwa 9677900 440066,repeated_words
Leang Leang,,,,,data/google-drive-pdfs/SongKeplek_Java_Holocene.pdf,2,"nous allons tenter d'en présenter les principaux jalons. Le Pleistocene supérieur final (30 000-10 000 ans B.P.) La grotte de Leang Burung 2 (fig. 1), située dans la vallée de Maros au Nord de Ujung Pandang (district de Leang Leang) à Sulawesi sud-ouest, est pour l'heure le seul site attestant de traces d'occupations humaines pour la période du Pleistocene supérieur final dans l'archipel. Il demeure pour cette époque le site le plus fiable d'un po",repeated_words
Ceruk Lakan Taghu Ceruk La Podo Gua,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,5,"he Muna Island karsts, including Kosasih (1987, 1989, 1995) and BCPBM (2015). Gua Metanduno Gua KaboriCeruk Ida Malangi Ceruk Pinda La Kolumbu Nsarofa 1Nsarofa 2 Lakuba Tangga Ara Gua Toko Gua Wa Bose Lasobo Gua Pominsa Ceruk Lakan Taghu Ceruk La Podo Gua Sugi Patani 0 1 km Rock art sites described in this paper Other nearby rock art sites Roads Figure 6.2: Rock art sites in the study area. Source: Adapted from Oktaviana (2016). 1 See Marschall and Wäﬂer (2012) for site",repeated_words
Gua Metanduno Gua Metanduno,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,8,"6. Hand stencils and boats in the painted rock art of the karst region of Muna Island, Southeast Sulawesi 67 terra australis 48 Gua Metanduno Gua Metanduno is a prime tourist destination on Muna Island and is easily reached along the tourist route to the site. Its geographic coordinates are 4°53’54.5”S and 122°39’33.7”E. The name of the site in the Muna language means to c",repeated_words
Gua Kabori Gua Kabori,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,11,"70 The Archaeology of Sulawesi terra australis 48 Gua Kabori Gua Kabori is located 25 m southeast from the Gua Metanduno site. The cave is dome-shaped with ledges along the wall. Its mouth faces west, and there is an ongoing process of stalactite and stalagmite formation. The term kabori tr",repeated_words
Ceruk Lakan Taghu Ceruk Lakan Taghu,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,11,"d stencil at around 3 m height on the right side of the cave wall, with three fingers remaining (Figure 6.12). Figure 6.12: Three-fingered hand stencil at right wall, Gua Kabori. Source: Adhi Agus Oktaviana. A new site: Ceruk Lakan Taghu Ceruk Lakan Taghu (Figure 6.13) is located in the same part of the Muna karsts as Ceruk Sugi Patani and Gua Pominsa (Figure 6.2), at 4°54’35.9”S 122°40’12.6”E. This rockshelter was discovered by the author in 2015 after faded paintings w",repeated_words
Liang Bua Soa Basin So’a Basin,,,,,data/google-drive-pdfs/The_Magnetostratigraphy_and_the_Age_of_Soa_Basin_.pdf,2,Kelilambo Kelindora Inirie Bajawa Ambulobo Boawae Keli Esu So’a assiS eA 0 km 10 20 Sawu Sea W elas Caldera < < 1 2 < Excavation/T rench INDONESIA N Flor es 0 100 km 19 120 122 124 10 8Komodo Ruteng Bajawa Ende Maumere Liang Bua Soa Basin So’a Basin < 3 < 4 o 8 32’58” S o 8 58’56” S o 120 53’51” E o 121 22’36” E o 120 53’51” E o 121 22’36” E o 8 32’58” S o 8 58’56” S,repeated_words
Leang Karassa' Leang Burung,,,,,data/google-drive-pdfs/Toalean_SSul.pdf,8,"d • Volcanic • Other L&ang Burung 1 Pammangkulang Batua • No Cortex m 1-25% Cortex • 25-50% Cortex • >50% Cortex L&ang Karassa' Leang Burung 1 Pammangkulang Batua • Geological Cortex a Secondary Cortex • Riverine Cortex Leang Karassa' Leang Burung 1 • Flat Platforms ^ Faceted Platforms • Crushed • Cortical Leang Karassa' Leang Burung 1 Pammangkulang Batua • Feathers Steps • Hinges Leang Karassa' Snaps Pammangkulang Batua Figure 5. Raw material, cortex characters",repeated_words
Leang Karassa Leang Burung,,,,,data/google-drive-pdfs/Toalean_SSul.pdf,8,"cases, and absent from only the remaining 4%. This prevalence equally character- Table 1. Means, standard deviations and t-test results from the three Toalean sites. Number Length Breadth Thickness Single-platform cores Leang Karassa Leang Burung Pammangkulang Batua 16 151 15 32.7+11.6' 30.7 ± 9.3^ 23.3 + 7.3 29.9 ±10.0"" 20.5 + 7.7' 15.7 ±6.8 11.0 ±3.5"" 9.1 ±4.6 10.9 ±3.5 Multi-platform cores Leang Karassa Leang Burung 1 Pammangkulang Batua 40 175 17 31.8± 13.2'",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/UluLeang_Maros.pdf,5,"116 of Pasar Pakalu (where an unsealed road leaves the Maros to Camba road, crossing the Maros canal towards Kampung Leang Leang) and about 500 m. to the east of that road from which they are visible. The caves occur within the massive limestone formations (Plate 1) of Eocene-Miocene age, which skirt the western edge of the Western Divide mountai",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/UluLeang_Maros.pdf,15,"taining fossils. The immediate source or quarry for these cherts is not known. From the appearance of some of the cores, stream-rolled pebbles provided the raw material for the knapper, but nearby streams, including the Leang Leang river seem to lack any similar material, and the local villagers could offer no suggestions ; rather they denied that batu api (any stone suitable for strike-a-lights) could be obtained locally. Dr vnn Heekeren, however",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/UluLeang_Maros.pdf,44,"exhausted sawah soils, and digging for a variety of bedded limestone batu Hongkong) which can be found buried under occupation deposits in the caves. Batu Hongkong is the raw material for a local village industry in the Leang Leang valley. The stone is crushed to powder by pounding with hand mauls, usually by women and children working under the pile houses and then sold in Maros or Ujung Pandang to make lime and whitewash. These two activities af",repeated_words
Leang Tedongnge Leang Tedongnge,,,,,data/google-drive-pdfs/Uncovering the chemistry of color change in rock art in Leang Tedongnge.pdf,2,"the environment where the rock art is located. The research employed several laboratory-based characterization techniques, i.e., optical mi - croscopy, XRF, SEM-EDS, and Raman spectroscopy. 2. Experimental section 2.1. Leang Tedongnge Leang Tedongnge is a limestone cave located in Kampung Biku, a small village in the secluded karst valley on the border of the Maros and Pangkep districts of South Sulawesi ( Fig. 1 ). The cave can be reached by a roughly 20-minute mot",repeated_words
Leang Prehistoric Park,,,,,data/google-drive-pdfs/Uncovering the chemistry of color change in rock art in Leang Tedongnge.pdf,2,"d in Kampung Biku, a small village in the secluded karst valley on the border of the Maros and Pangkep districts of South Sulawesi ( Fig. 1 ). The cave can be reached by a roughly 20-minute motorbike ride from the Leang-Leang Prehistoric Park to the nearest village of Bungaeja, Balocci District, followed by a 2 h hike ( Fig. 2 a ). Spatially, this northeast-facing cave has two chambers. The first chamber is directly connected with the mouth cave ( Fig. 2 b )",descriptive_phrase
Liang Toge Because Liang Toge,,,,,data/google-drive-pdfs/WajakSkulls.pdf,98,"les 69-70), indistinct parietal tubera (right side; Table 87), distinct occipital torus (Table 90), trace of a flattened lower orbital border (left side; Table 94), phaenozygy (Table 95), and low cheek bones (Table 97). Liang Toge Because Liang Toge is the most complete prehistoric Indonesian skull with a more reliable diagnosis as a female (Table 19), it is interesting to compare this skull with the series of recent female skulls (Tables 24-110). However, there is",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/arch_0044-8613_1976_num_11_1_1271.pdf,5,"116 of Pasar Pakalu (where an unsealed road leaves the Maros to Camba road, crossing the Maros canal towards Kampung Leang Leang) and about 500 m. to the east of that road from which they are visible. The caves occur within the massive limestone formations (Plate 1) of Eocene-Miocene age, which skirt the western edge of the Western Divide mountai",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/arch_0044-8613_1976_num_11_1_1271.pdf,15,"taining fossils. The immediate source or quarry for these cherts is not known. From the appearance of some of the cores, stream-rolled pebbles provided the raw material for the knapper, but nearby streams, including the Leang Leang river seem to lack any similar material, and the local villagers could offer no suggestions ; rather they denied that batu api (any stone suitable for strike-a-lights) could be obtained locally. Dr vnn Heekeren, however",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/arch_0044-8613_1976_num_11_1_1271.pdf,44,"exhausted sawah soils, and digging for a variety of bedded limestone batu Hongkong) which can be found buried under occupation deposits in the caves. Batu Hongkong is the raw material for a local village industry in the Leang Leang valley. The stone is crushed to powder by pounding with hand mauls, usually by women and children working under the pile houses and then sold in Maros or Ujung Pandang to make lime and whitewash. These two activities af",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,31,"e Bantimurung waterfall, had been admired by visitors since, at least, the middle of the 18th century;6 a century later, Alfred Russel Wallace rhapsodised over its wealth of butterflies. The Sarasins too had visited the Leang Leang valley, but did not notice the cave deposits. The following year, 1937, saw major campaigns. Van Heekeren continued digging in the Maros karst sites and, under Callenfels’s overall direction, two cave sites further nort",repeated_words
Ceruk Lakan Taghu Ceruk La Podo Gua,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,84,"he Muna Island karsts, including Kosasih (1987, 1989, 1995) and BCPBM (2015). Gua Metanduno Gua KaboriCeruk Ida Malangi Ceruk Pinda La Kolumbu Nsarofa 1Nsarofa 2 Lakuba Tangga Ara Gua Toko Gua Wa Bose Lasobo Gua Pominsa Ceruk Lakan Taghu Ceruk La Podo Gua Sugi Patani 0 1 km Rock art sites described in this paper Other nearby rock art sites Roads Figure 6.2: Rock art sites in the study area. Source: Adapted from Oktaviana (2016). 1 See Marschall and Wäﬂer (2012) for site",repeated_words
Gua Metanduno Gua Metanduno,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,87,"6. Hand stencils and boats in the painted rock art of the karst region of Muna Island, Southeast Sulawesi 67 terra australis 48 Gua Metanduno Gua Metanduno is a prime tourist destination on Muna Island and is easily reached along the tourist route to the site. Its geographic coordinates are 4°53’54.5”S and 122°39’33.7”E. The name of the site in the Muna language means to c",repeated_words
Gua Kabori Gua Kabori,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,90,"70 The Archaeology of Sulawesi terra australis 48 Gua Kabori Gua Kabori is located 25 m southeast from the Gua Metanduno site. The cave is dome-shaped with ledges along the wall. Its mouth faces west, and there is an ongoing process of stalactite and stalagmite formation. The term kabori tr",repeated_words
Ceruk Lakan Taghu Ceruk Lakan Taghu,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,90,"d stencil at around 3 m height on the right side of the cave wall, with three fingers remaining (Figure 6.12). Figure 6.12: Three-fingered hand stencil at right wall, Gua Kabori. Source: Adhi Agus Oktaviana. A new site: Ceruk Lakan Taghu Ceruk Lakan Taghu (Figure 6.13) is located in the same part of the Muna karsts as Ceruk Sugi Patani and Gua Pominsa (Figure 6.2), at 4°54’35.9”S 122°40’12.6”E. This rockshelter was discovered by the author in 2015 after faded paintings w",repeated_words
Gua Sambangoala Gua Sambangoala,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,174,"154 The Archaeology of Sulawesi terra australis 48 Gua Sambangoala Gua Sambangoala is a rockshelter in Walandawe village, Routa Subdistrict, North Konawe District, Southeast Sulawesi Province. It lies under an overhang in a karst cliff that is long and continuous, and clearly visible from the approach",repeated_words
Leang Buida Leang Buida,,,,,data/google-drive-pdfs/archaeologysulawesi.pdf,266,"we summarise the excavation results from Leang Buida and Bukit Tiwing, and discuss the possible development of their marine and terrestrial resource use and also inter-island networks during AD 1000–1800. Excavation of Leang Buida Leang Buida site is a limestone cave (leang) site along the western coast of Kabaruan Island (Figure 15.2). The cave mouth is about 8 m in length and 4 m in height, and the length of the inner area expands to about 10 m to form a t",repeated_words
Gua Patta Kere Gua Petta Kere,,,,,data/google-drive-pdfs/document (2).pdf,23,"19 Pada penelitian ini, tidak dilakukan pada seluruh gua yang disebutkan di atas tetapi hanya beberapa gua yang dijadikan sampel obyek penelitian, yang terdiri dari a. Gua Patta Kere Gua Petta Kere terletak di bagian belakang Taman Prasejarah Leang-leang. Untuk menuju mulut gua harus menaiki tangga yang terbuat dari semen dan sebagian besi. Lingkungan sekitar gua adalah bukit gamping yang ditumbuhi berbagai macam",repeated_words
Gua Burung Gua Burung,,,,,data/google-drive-pdfs/document (2).pdf,25,"uraikan sebagai berikut : Nama Gua Suhu Udara ( º C) Kelembaban Udara ( % ) Kelembaban Tanah ( % ) Kelembaban Dinding (SP) Suhu Per- mukaan Dinding ( º C) PH Tanah PH Air Pattae E 27 71 80 6, 8, 6, 9, 6 23 dan 27 7 - c. Gua Burung Gua Burung terletak di sisi kanan jalan Desa Kalabbirang, sekitar 4 km di sebelah utara ibukota Kecamatan Bantimurung. Mulut gua berada pada sisi lereng dengan ketinggian 7 meter dari permukaan tanah. Gua Burung merupakan gua jeni",repeated_words
Gua Jing Gua Jing,,,,,data/google-drive-pdfs/document (2).pdf,26,"agian depan gua sekitar 50 meter terdapat jalan aspal. Di kanan kiri jalan terdapat pemukiman penduduk, di bagian belakang terdapat hamparan sawah. Di sisi kanan sekitar 30 meter dari gua terdapat sungai Leang-leang. d. Gua Jing Gua Jing terletak di sisi kiri jalan De sa Kalabbirang, kurang lebih 1 km dari Taman Prasejarah Leang-leang. Posisi mulut gua berada pada sisi lereng dengan ketinggian sekitar 30 meter dari permukaan tanah. Gua Jin memiliki rong",repeated_words
Gua Karassa Gua Karassa,,,,,data/google-drive-pdfs/document (2).pdf,28,"isa-sisa sampah dapur berupa kulit kerang yang diidentifikasi berasal dari kelas gastropoda dan pelecypoda. Sisa-sisa makanan jenis ini ditemukan bersama dengan alat-alat batu yang berserakan di bagian pelataran gua. f. Gua Karassa Gua Karassa terletak di pinggir jalan poros Maros-Bone, di Kampung Taddeang Desa Samanggi Kecamatan Simbang ± 19 km sebelah timur Kota Maros atau Gambar 2.9 Bagian depan gua Barugayya Gambar 2.10. Lukisan di dinding gua Barugayya",repeated_words
Gua Sampeang Gua Sampeang,,,,,data/google-drive-pdfs/document (2).pdf,29,"g gua dipenuhi dengan coretan-coretan (vandalis), sampah-sampah modern yang berserakan serta bekas-bekas pembakaran di mana-mana. Ancaman lain adalah jalan raya yang menempati area situs bahkan masuk dalam ruang gua. g. Gua Sampeang Gua Sampeang terletak di sisi kanan, sekitar 500 meter ke arah timur dari jalan Desa Kalabbirang. Jarak Gua Sampeang dari Taman Prasejarah Leang-leang sekitar 3 km ke arah selatan. Posisi mulut gua berada pada sisi lereng dengan ket",repeated_words
Gua Wanuwae Gua Wanuwae,,,,,data/google-drive-pdfs/document (2).pdf,31,"gua ini berupa serpih dan bilah, fragmen tembikar polos, cangkang moluska, dan lukisan tangan sebanyak 15 buah. Sepuluh buah di antara lukisan tersebut dalam konsisi rusak dan sulit dikenali (Tim Kaisar Unhas, 2003). i. Gua Wanuwae Gua Wanuwae berada di bagian tenggara lintasan kaki Bukit Bomboro. Secara administratif berada di dalam Kampung Panaikang, Desa Bungaeja Kecamatan Bantrimurung. Berjarak kurang lebih 800 meter sebelah utara Taman Prasejarah Leang L",repeated_words
Leang Leang,,,,,data/google-drive-pdfs/document (2).pdf,31,"Wanuwae berada di bagian tenggara lintasan kaki Bukit Bomboro. Secara administratif berada di dalam Kampung Panaikang, Desa Bungaeja Kecamatan Bantrimurung. Berjarak kurang lebih 800 meter sebelah utara Taman Prasejarah Leang Leang pada posisi astrnomik S 04O 57’ 58,2” E119O 40’ 54,3”. Gua Wanuwae berada pada ketinggian ± 50 m dpl, sedang tingginya dari permukaan tanah datar di depannya ± 8 meter. Distribusi lahan di depan gua dirunut sebagai pela",repeated_words
Gua Sakapao Gua Sakapao,,,,,data/google-drive-pdfs/document (2).pdf,37,"Bita Balocci Baru 04º 48’ 20’’ LS dan 119º 38’ 57” BT Pada penelitian ini, tidak dilakukan pada seluruh gua yang disebutkan di atas tetapi hanya beberapa gua yang dijadikan sampel obyek penelitian, yang terdiri dari a. Gua Sakapao Gua Sakapao terletak pada lereng gugusan pegunungan kapur di Belae. Gua Sakapao merupakan gua yang cukup besar dan luas, dengan panjang 20 meter, lebar rongga gua 16 meter, dan lebar mulut gua 8 meter. Di sebelah barat terdapat seb",repeated_words
Gua Kajuara Gua Kajuara,,,,,data/google-drive-pdfs/document (2).pdf,38,"uhu Udara ( º C) Kelembaban Udara ( % ) Kelembaban Tanah ( % ) Kelembaban Dinding (SP) Suhu Per- mukaan Dinding ( º C) PH Tanah PH Air Sakapao - Dalam - Luar 25 27 92 63 40 5 9, 8, 22, 25 8, 9, 12, 15 23 24 6,9 7 6 6 b. Gua Kajuara Gua Kajuara memiliki mulut gua yang berada pada sisi lereng dengan ketinggian 10 meter dari permukaan laut. Penamaan ”Kajuara” mengacu pada sebutan masyarakat setempat terhadap pohon beringin yang tumbuh di dekat gua tersebut. Gamb",repeated_words
Gua Kassi Gua Kassi,,,,,data/google-drive-pdfs/document (2).pdf,39,"sa kerang, dan lukisan dinding. Lukisan yang ditemukan terletak pada dinding mulut dan langit-langit gua, berupa lukisan cap tangan berwarna merah dan lukisan manusia berwarna hitam (Mulyadi, 2004 dalam Linda, 2005). c. Gua Kassi Gua Kassi menghadap ke arah barat daya dan berada 15 meter dari permukaan laut. Tinggi gua dari permukaan tanah di depannya berkisar antara 0 sampai 5 meter. Distribusi lahan di depan gua dirunut sebagai pelataran seluas 0,75 ha",repeated_words
Gua Lompoa Gua Lompoa,,,,,data/google-drive-pdfs/document (2).pdf,40,"hitam dan beberapa ganbar berwarna hitam yang tidak teridenfikasi wujudnya. Lukisan terbesar di gua ini berukuran 17 Cm. Lukisan ini diletakkan pada langit-langit dan dinding sebelah kanan serta dinding sebelah kiri. d. Gua Lompoa Gua Lompoa berada 20 meter di atas permukaan laut dengan arah hadap selatan. Tinggi gua dari tanah yang ada di depannya berkisar antara 0 sampai 5 meter. Distribusi lahan yang terdapat di depan gua terdiri atas pelataran seluas 0,",repeated_words
Gua Pattennung Gua Pattennung,,,,,data/google-drive-pdfs/document (2).pdf,42,38 e. Gua Pattennung Gua Pattennung menghadap ke arah tenggara dan berada 13 meter di atas permukaan laut. Tinggi gua dari permukaan tanah di depannya berkisar antara 0 sampai 2 meter. Distribusi lahan di depan gua tidak banyak berbeda dengan gua Leang ka,repeated_words
Gua Bulu Sumi Gua Bulu Sumi,,,,,data/google-drive-pdfs/document (2).pdf,43,39 e. Gua Bulu Sumi Gua Bulu Sumi berada dalam kompleks Taman Prasejarah Sumpang Bitta. Gua ini terletak sekitar 500 meter dari jalan raya poros Pangkep – Makasar. Gua Bulu Sumi terletak di kaki perbukitan kapur dengan kemiringan sekitar 30º dan berada,repeated_words
Gua Sumpang Bita Gua Sumpang Bita,,,,,data/google-drive-pdfs/document (2).pdf,44,40 f. Gua Sumpang Bita Gua Sumpang Bita juga terletak di dalam Taman Prasejarah Sumpang Bita. Gua in terletak sekitar 150 meter di sebelah barat Gua Bulu Sumi. Gua Sumpang Bita terletak di kaki perbukitan kapur dengan kemiringan sekitar 30º dan berada pada ke,repeated_words
Liang Bua Liang Bua Liang Bua Figure,,,,,data/google-drive-pdfs/nature08844.pdf,4,"piens West Flores Paradoxurus hermaphroditus Cave sediments Cave sediments Volcanic eruptions, 900 kyr Volcanic Volcanic eruptions, 17–11 kyr Hiatus Hiatus Hiatus Volcanic breccia Cervus timorensis 650 Boa Lesa Gero Dog Liang Bua Liang Bua Liang Bua Figure 5 | The faunal sequence on Flores. The sequence is characterized by long-term phylogenetic continuity, but includes two major faunal turnovers. The first, associated with evidence for a major volcanic eruption ,900 kyr",repeated_words
Leang Panninge Leang Panninge,,,,,data/google-drive-pdfs/s41586-021-03823-6.pdf,3,"0.5 Migration weight Onge Tianyuan 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100% Papuan East Asian South Asian P = 0.5007 P = 0.1265 Leang Panninge 57 11 48 0 7 3% 30 97% 13 49% 5 51% 32 12 57 53 18 32 154 1434 129 a c b Leang Panninge Leang Panninge 1 2 Mbuti Denisovan Sunghir OngeQihe PapuanAustralian Tianyuan Fig. 3 | Admixture signals detected in the Leang Panninge genome. a, Admixture proportions modelling Leang Panninge as a combination of Papuan49 and Tianyua",repeated_words
